time_s,ROI_raw_1,ROI_raw_2,ROI_raw_3,ROI_raw_4,ROI_raw_5,ROI_raw_6,ROI_raw_7,ROI_raw_8,ROI_raw_9,ROI_raw_10
5.65,27283.607421875,12101.681640625,5009.75927734375,9326.5615234375,12462.34765625,6963.6162109375,3880.506103515625,5660.27734375,3970.980224609375,5032.20751953125
5.7,27040.09375,12039.046875,5017.025390625,9210.08984375,12503.6064453125,6957.814453125,3892.9892578125,5582.0771484375,3929.309326171875,4973.4912109375
5.75,27169.8359375,12032.552734375,5079.09228515625,9293.7578125,12548.9775390625,6929.6572265625,3914.728515625,5581.67626953125,3987.270751953125,4974.6064453125
5.8,27386.115234375,12197.439453125,5104.1181640625,9285.8369140625,12571.9873046875,6986.12841796875,3960.16259765625,5613.3271484375,4059.766357421875,5015.88134765625
5.85,27422.638671875,12263.9638671875,5160.7060546875,9306.435546875,12728.728515625,7000.7919921875,3972.8046875,5662.32470703125,3996.581298828125,5064.15625
5.9,27141.41015625,12167.90234375,5078.08203125,9247.298828125,12641.0595703125,6906.064453125,3907.5380859375,5573.28955078125,3950.265869140625,4971.0986328125
5.95,27126.7890625,12043.4580078125,5097.1494140625,9212.630859375,12565.8740234375,6879.46484375,3889.626953125,5640.1171875,3911.3466796875,4971.68359375
6.0,26945.8359375,12017.94921875,4998.044921875,9171.0576171875,12500.091796875,6857.26025390625,3873.56396484375,5426.56591796875,3860.255859375,4906.9150390625
6.05,26861.875,12008.3251953125,5005.744140625,9080.0302734375,12630.958984375,6829.458984375,3891.339111328125,5480.330078125,3820.470703125,4877.01513671875
6.1,27127.24609375,12089.0693359375,4974.68994140625,9241.3740234375,12870.177734375,6900.5849609375,3900.248779296875,5503.5302734375,3886.19873046875,4954.22998046875
6.15,27106.8359375,12011.998046875,5004.8173828125,9210.513671875,12511.7568359375,6905.82373046875,3897.515380859375,5517.68310546875,3904.1640625,5001.2060546875
6.2,27117.814453125,12032.3740234375,4984.4560546875,9198.6826171875,12540.6455078125,6794.9755859375,3931.53173828125,5488.4111328125,3908.355224609375,4958.4287109375
6.25,26936.435546875,11885.623046875,4900.7373046875,9129.88671875,12571.2119140625,6806.1181640625,3837.426513671875,5483.728515625,3818.67822265625,4968.4375
6.3,27371.724609375,12058.474609375,4994.6357421875,9288.63671875,12664.6484375,6927.22900390625,3925.78271484375,5526.1162109375,3922.802490234375,5042.56494140625
6.35,27519.611328125,12160.58203125,5051.25341796875,9332.6005859375,12703.1259765625,6959.11083984375,3954.3056640625,5657.87060546875,3936.418701171875,5007.93994140625
6.4,27079.8828125,12020.4150390625,4938.52197265625,9197.40625,12611.7353515625,6928.3818359375,3916.3466796875,5574.26318359375,3831.722900390625,4962.044921875
6.45,27191.00390625,12011.9765625,4995.857421875,9254.0517578125,12785.7841796875,6918.64599609375,3912.690673828125,5552.8076171875,3868.8359375,5001.2060546875
6.5,27730.3125,12296.80078125,5060.59228515625,9410.013671875,12933.9892578125,7098.6337890625,3978.88037109375,5703.42529296875,3949.277099609375,5064.06103515625
6.55,27532.7421875,12236.99609375,5067.36083984375,9332.5732421875,12515.033203125,7003.4775390625,3922.56005859375,5588.083984375,3887.8173828125,5059.87255859375
6.6,27723.166015625,12256.935546875,5103.0322265625,9473.5556640625,12640.8095703125,7069.03662109375,3970.166259765625,5655.03125,3937.634765625,5090.59765625
6.65,27779.8984375,12411.845703125,5083.9140625,9395.7490234375,12936.1376953125,7053.98046875,3923.897216796875,5706.92529296875,3930.895751953125,5089.98876953125
6.7,27709.13671875,12279.5673828125,5098.5068359375,9391.4970703125,12936.607421875,7025.82080078125,3946.577880859375,5672.51123046875,3994.58642578125,4948.96630859375
6.75,27823.80859375,12371.865234375,5100.91650390625,9513.1904296875,13014.5458984375,7078.15966796875,3958.599365234375,5728.01318359375,4009.41357421875,5131.0048828125
6.8,28135.521484375,12414.2900390625,5160.62744140625,9580.544921875,12743.3544921875,7147.400390625,4014.057373046875,5821.4384765625,4049.909423828125,5257.24755859375
6.85,27725.3359375,12148.6982421875,5076.86474609375,9388.04296875,12670.23046875,7020.755859375,3945.650390625,5707.9150390625,3973.763916015625,5043.09619140625
6.9,28145.970703125,12384.8994140625,5180.9130859375,9593.703125,12952.3798828125,7134.10693359375,4041.78759765625,5785.48193359375,4069.1640625,5215.89892578125
6.95,27833.04296875,12306.3330078125,5090.6015625,9381.0625,12948.7685546875,7028.43994140625,3974.84814453125,5727.84716796875,4016.63232421875,5095.46240234375
7.0,28434.58984375,12504.6337890625,5159.90478515625,9594.6328125,13196.357421875,7155.5,4071.410888671875,5836.1884765625,4063.603759765625,5228.43115234375
7.05,28016.43359375,12313.4443359375,5112.20361328125,9527.1640625,12870.2109375,7072.09912109375,3981.451904296875,5739.06298828125,4043.914306640625,5166.388671875
7.1,28168.72265625,12390.42578125,5125.98291015625,9705.1943359375,12866.8564453125,7155.34619140625,4037.06298828125,5772.8388671875,3985.932861328125,5168.37109375
7.15,28381.806640625,12476.84765625,5235.77099609375,9814.95703125,13044.49609375,7195.9609375,4076.49853515625,5782.62451171875,4002.86962890625,5138.96728515625
7.2,27807.48046875,12160.8759765625,5079.35546875,9616.654296875,12844.5,6996.6396484375,3951.8701171875,5684.9677734375,3924.238525390625,5134.3251953125
7.25,27964.9140625,12090.7578125,5102.173828125,9603.4091796875,12985.93359375,7042.68701171875,3974.868896484375,5728.51123046875,3958.852294921875,5084.40234375
7.3,27967.9140625,12153.2626953125,5153.375,9596.8525390625,13200.6826171875,7104.1240234375,3962.968505859375,5756.15478515625,3895.286865234375,5127.26123046875
7.35,28251.330078125,12247.8701171875,5188.13330078125,9612.1337890625,13221.7138671875,7157.0185546875,4024.456787109375,5687.248046875,4009.526611328125,5251.625
7.4,27771.171875,12115.140625,5161.73388671875,9504.291015625,12688.13671875,6984.8037109375,3971.426025390625,5623.62158203125,3938.85595703125,5020.99609375
7.45,27829.140625,12138.248046875,5178.8251953125,9567.4091796875,12678.185546875,6983.83203125,3961.80224609375,5608.12060546875,3921.10693359375,5106.6435546875
7.5,28206.90234375,12283.26171875,5194.47021484375,9734.1787109375,13124.9443359375,7143.94580078125,4024.4580078125,5648.748046875,3972.886962890625,5146.41357421875
7.55,28072.81640625,12223.0849609375,5165.52880859375,9648.6240234375,13318.982421875,7076.9326171875,4012.395751953125,5591.8876953125,4001.97265625,5026.73876953125
7.6,28112.265625,12214.7978515625,5169.12939453125,9688.5048828125,13377.7685546875,7094.43310546875,4009.96337890625,5634.6357421875,3944.316650390625,5081.42138671875
7.65,28410.833984375,12310.0458984375,5237.8427734375,9706.064453125,13505.009765625,7185.49658203125,4056.1796875,5773.943359375,4022.281982421875,5155.3701171875
7.7,28373.5234375,12384.19140625,5314.0830078125,9775.1015625,13338.0224609375,7209.04931640625,4090.434814453125,5696.9150390625,4004.76025390625,5173.634765625
7.75,28682.630859375,12527.6640625,5274.46875,9837.791015625,13519.458984375,7269.302734375,4076.48388671875,5719.62744140625,4045.699462890625,5267.42626953125
7.8,28595.064453125,12464.1552734375,5350.4130859375,9877.9033203125,13084.71484375,7310.88720703125,4094.730224609375,5763.33203125,4039.388916015625,5357.607421875
7.85,28537.0625,12348.361328125,5325.0986328125,9820.857421875,12893.1123046875,7211.78564453125,4077.764404296875,5819.890625,4032.447265625,5275.0576171875
7.9,28494.83203125,12221.1025390625,5281.701171875,9718.513671875,12911.5,7205.64453125,4029.173828125,5751.501953125,4023.540283203125,5279.4912109375
7.95,28678.533203125,12308.0546875,5361.0107421875,9538.2607421875,12983.671875,7284.14111328125,4160.189453125,5931.388671875,4022.876953125,5289.10107421875
8.0,29259.869140625,12504.2109375,5599.298828125,10085.94140625,12998.763671875,7306.8896484375,4271.54150390625,5864.7841796875,4322.54638671875,5424.41357421875
8.05,28660.421875,12090.3671875,5229.8232421875,9624.7197265625,13059.201171875,7279.05615234375,4096.13671875,5854.09326171875,4031.2099609375,5291.6923828125
